# Accelerometer Data File
# Started @Tue Jun 13 17:30:27 GMT+01:00 2017
#
#
# sensor Vendor: Bosch
# sensor Name: BMI160 accelerometer
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.011 6.15 7.573 0
0.028 6.255 7.551 2
0.021 6.171 7.391 3
0.11 6.236 7.527 2
0.083 6.188 7.448 3
0.095 6.212 7.333 2
0.088 6.215 7.422 3
0.174 6.207 7.352 2
0.191 6.219 7.41 3
0.138 6.265 7.314 2
0.213 6.26 7.242 3
0.167 6.361 7.297 2
0.141 6.243 7.331 3
0.172 6.389 7.393 2
0.126 6.43 7.374 3
0.062 6.363 7.302 2
0.081 6.356 7.323 3
0.038 6.421 7.395 2
0.057 6.389 7.441 3
0.011 6.361 7.534 3
0.043 6.387 7.57 2
-0.071 6.351 7.57 3
-0.105 6.394 7.494 2
-0.107 6.387 7.611 3
-0.062 6.38 7.683 2
-0.126 6.382 7.709 3
-0.007 6.332 7.714 2
-0.035 6.356 7.834 3
0.021 6.289 7.747 2
0.069 6.229 7.774 3
0.107 6.289 7.702 2
0.213 6.152 7.74 3
0.153 6.076 7.769 2
0.071 6.061 7.692 3
0.193 6.171 7.714 2
0.153 6.08 7.654 3
0.165 5.985 7.616 3
0.227 6.045 7.688 2
0.208 5.982 7.592 3
0.201 6.116 7.625 2
0.098 6.088 7.513 3
0.16 6.212 7.558 2
0.189 6.176 7.647 3
0.167 6.2 7.527 2
0.148 6.171 7.462 3
0.172 6.353 7.438 2
0.143 6.349 7.565 3
0.112 6.353 7.549 2
0.177 6.43 7.484 3
0.153 6.363 7.321 2
0.17 6.413 7.35 3
0.148 6.428 7.311 2
0.071 6.31 7.331 3
0.098 6.425 7.295 3
0.011 6.361 7.383 2
-0.016 6.32 7.285 3
-0.064 6.212 7.395 2
-0.129 6.277 7.553 3
-0.119 6.291 7.57 2
-0.234 6.207 7.606 3
-0.217 6.212 7.573 2
-0.225 6.234 7.623 3
-0.069 6.193 7.654 2
0.081 6.164 7.699 3
0.088 6.169 7.901 2
0.306 6.04 7.893 3
0.445 5.92 7.973 2
0.615 5.846 7.874 3
0.61 5.819 7.975 2
0.675 5.927 7.75 3
0.49 6.006 7.728 3
0.455 6.231 7.855 2
0.445 6.258 7.75 3
0.421 6.346 7.721 2
0.354 6.519 7.783 3
0.285 6.595 7.747 2
0.201 6.543 7.738 3
0.158 6.557 7.441 2
0.038 6.579 7.618 3
-0.04 6.54 7.549 2
-0.095 6.48 7.494 3
-0.107 6.387 7.62 2
-0.055 6.339 7.558 3
-0.067 6.375 7.458 2
-0.028 6.212 7.64 3
-0.179 6.15 7.58 2
-0.328 6.033 7.604 3
-0.387 5.942 7.817 3
-0.431 5.975 7.649 2
-0.392 5.944 7.671 3
-0.505 5.93 7.597 2
-0.668 6.013 7.577 3
-0.785 5.987 7.587 2
-1.025 5.989 7.503 3
-0.962 6.011 7.587 2
-0.922 6.049 7.702 3
-0.919 6.03 7.822 2
-0.807 6.102 7.822 3
-0.747 6.08 7.961 2
-0.713 6.104 8.073 3
-0.562 6.136 8.073 2
-0.608 6.116 8.157 3
-0.541 6.097 8.286 3
-0.32 6.076 8.447 2
-0.361 5.872 8.325 3
-0.459 5.781 8.305 2
-0.33 5.633 8.255 3
-0.174 5.292 8.071 2
0.237 5.276 8.214 3
0.596 5.491 8.167 2
0.965 5.642 8.107 3
1.12 5.783 8.056 2
1.389 6.004 8.042 3
1.367 6.016 7.898 2
1.334 6.203 7.735 3
1.365 6.373 7.472 2
1.374 6.449 7.321 3
1.329 6.524 7.261 2
1.24 6.5 7.082 3
1.166 6.49 6.947 3
1.096 6.557 6.919 2
0.972 6.543 6.821 3
0.984 6.423 6.88 2
0.922 6.418 6.9 3
0.857 6.342 6.821 2
0.91 6.332 6.909 3
0.783 6.346 7.141 2
0.89 6.229 7.165 3
0.936 6.236 7.383 2
0.91 6.289 7.501 3
0.943 6.148 7.685 2
0.878 6.193 7.865 3
0.974 6.212 7.913 2
0.946 6.047 8.008 3
0.948 6.076 8.241 2
0.969 6.066 8.224 3
0.977 5.997 8.274 3
1.089 6.092 8.468 2
1.068 6.071 8.578 3
1.369 6.152 8.725 2
1.298 6.116 8.911 3
1.499 6.09 8.981 2
1.611 6.03 9.043 3
1.659 6.114 9.208 2
1.738 6.207 9.098 3
1.86 6.164 9.089 2
1.999 6.241 9.005 3
2.143 6.248 9.0 2
2.292 6.327 8.744 3
2.414 6.397 8.495 2
2.536 6.373 8.31 3
2.711 6.423 8.143 2
2.759 6.303 7.905 3
2.794 6.423 7.771 3
2.766 6.444 7.652 2
2.665 6.526 7.688 3
2.675 6.483 7.604 2
2.579 6.497 7.496 3
2.524 6.557 7.46 2
2.541 6.531 7.537 3
2.457 6.483 7.453 2
2.301 6.586 7.393 3
2.39 6.528 7.364 2
2.33 6.595 7.309 3
2.251 6.54 7.431 2
2.121 6.574 7.517 3
2.064 6.667 7.613 2
2.021 6.662 7.618 3
1.942 6.806 7.659 2
1.889 6.727 7.764 3
1.896 6.66 7.865 3
1.997 6.789 7.862 2
2.165 6.756 8.061 3
2.119 6.777 8.099 2
2.469 6.789 8.047 3
