# Accelerometer Data File
# Started @Tue Jun 13 17:39:34 GMT+01:00 2017
#
#
# sensor Vendor: Bosch
# sensor Name: BMI160 accelerometer
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.731 6.799 6.761 0
1.712 6.825 6.722 2
1.669 6.809 6.667 3
1.58 6.806 6.737 2
1.542 6.95 6.873 3
1.568 6.924 6.813 2
1.559 6.895 6.926 3
1.635 6.928 7.012 2
1.583 6.967 6.952 3
1.657 6.866 7.007 2
1.58 6.806 7.11 3
1.64 6.924 7.218 2
1.64 6.775 7.273 3
1.592 6.761 7.089 2
1.609 6.773 7.127 3
1.664 6.775 7.0 2
1.743 6.638 7.01 3
1.889 6.689 7.003 2
1.81 6.634 6.955 3
1.913 6.667 6.993 2
1.939 6.667 6.892 3
1.884 6.746 6.84 2
1.92 6.799 6.777 3
1.827 6.749 6.727 2
1.959 6.744 6.679 3
1.918 6.792 6.643 2
2.035 6.849 6.545 3
1.949 6.856 6.478 2
2.035 6.77 6.478 3
2.074 6.775 6.353 2
1.98 6.859 6.368 3
2.05 6.952 6.492 2
2.007 6.825 6.459 3
1.949 6.873 6.476 2
1.911 6.959 6.466 3
1.904 6.991 6.492 2
1.844 6.967 6.251 3
1.805 6.945 6.325 2
1.765 6.967 6.385 3
1.731 7.194 6.373 2
1.662 7.252 6.421 3
1.642 7.185 6.339 2
1.626 7.189 6.49 3
1.506 7.201 6.576 2
1.288 6.986 6.533 3
1.518 6.873 6.682 2
1.405 6.713 6.77 3
1.355 6.631 6.804 3
1.317 6.375 6.684 2
1.336 6.248 6.66 3
1.367 6.1 6.634 2
1.377 6.011 6.588 3
1.539 5.927 6.552 2
1.554 5.865 6.507 3
1.547 5.812 6.61 2
1.741 5.846 6.49 3
1.858 5.889 6.603 2
1.877 5.903 6.595 3
1.949 5.898 6.622 2
1.973 6.054 6.574 3
2.095 6.164 6.6 2
2.066 6.303 6.727 3
2.114 6.368 6.856 2
2.112 6.564 7.0 3
2.069 6.598 7.007 2
2.009 6.765 7.129 3
1.875 6.765 7.146 2
1.851 6.943 7.101 3
1.808 7.017 7.218 2
1.664 7.141 7.003 3
1.494 7.187 7.01 2
1.211 7.321 6.94 3
1.022 7.525 7.036 2
0.059 7.091 7.328 3
0.55 7.355 7.544 2
1.13 7.635 7.98 3
1.3 7.482 8.372 2
1.604 7.735 8.998 3
1.995 7.898 8.562 2
2.268 7.905 7.862 3
2.129 7.769 7.11 2
1.925 7.774 6.478 3
1.683 7.558 6.145 2
1.221 7.244 5.75 3
0.775 7.026 5.372 2
0.579 6.854 5.213 3
0.387 6.605 5.221 2
0.253 6.356 5.23 3
0.237 6.183 5.364 2
0.337 6.097 5.494 3
0.323 6.045 5.558 2
0.349 5.949 5.918 3
0.402 5.891 6.076 3
0.498 5.872 6.138 2
0.55 5.882 6.198 3
0.62 5.714 6.289 2
0.737 5.63 6.239 3
0.886 5.546 6.078 2
1.072 5.589 6.148 3
1.178 5.496 6.239 2
1.372 5.453 6.334 3
1.47 5.403 6.459 2
1.563 5.482 6.691 3
1.662 5.424 6.797 2
1.647 5.415 7.153 3
1.815 5.448 7.482 2
1.904 5.587 7.688 3
1.904 5.678 7.882 2
1.853 5.745 8.31 3
2.033 5.762 8.638 2
2.057 5.788 8.871 3
2.165 5.872 9.05 2
2.165 5.932 9.17 3
2.181 5.942 9.206 2
2.105 6.045 9.261 3
2.088 5.939 9.182 2
2.052 6.018 9.137 3
2.04 6.047 9.141 2
1.827 6.102 9.156 3
1.733 6.116 8.995 2
1.793 6.097 9.031 3
1.523 6.229 8.981 2
1.245 6.159 8.689 3
1.142 6.042 8.66 2
1.049 6.057 8.61 3
0.962 6.009 8.54 2
1.02 5.999 8.543 3
0.929 5.922 8.507 2
1.013 5.963 8.423 3
1.094 5.913 8.365 2
1.063 5.86 8.339 3
1.089 5.975 8.274 2
1.089 5.954 8.09 3
1.116 6.068 7.977 2
1.142 6.073 7.884 3
1.068 6.066 7.709 2
0.866 5.985 7.613 3
0.969 6.025 7.501 3
1.08 6.059 7.177 2
1.096 6.119 7.244 3
1.123 6.116 7.285 2
1.204 6.159 7.335 3
0.996 6.131 7.453 2
0.929 6.186 7.448 3
1.063 6.107 7.546 2
1.13 6.145 7.661 3
1.144 6.224 7.793 2
1.137 6.028 7.877 3
1.19 6.025 8.02 2
1.247 5.98 8.162 3
1.322 5.894 8.21 2
1.312 5.836 8.43 3
1.413 5.93 8.44 2
1.439 6.033 8.634 3
1.379 5.975 8.626 2
1.389 6.033 8.586 3
1.173 6.095 8.59 2
1.058 6.088 8.428 3
0.874 6.076 8.387 2
0.603 6.068 8.207 3
0.581 6.107 8.018 2
0.464 6.042 8.102 3
0.457 5.954 7.963 2
0.433 5.901 7.752 3
0.32 5.827 7.953 2
0.292 5.755 7.855 3
0.174 5.712 7.826 2
0.179 5.736 7.91 3
0.213 5.549 7.961 2
0.126 5.609 8.076 3
0.052 5.597 8.174 2
0.105 5.597 8.231 3
0.071 5.575 8.401 2
0.062 5.604 8.634 3
0.016 5.52 8.799 2
0.062 5.455 8.926 3
0.102 5.35 9.22 2
0.158 5.338 9.283 3
0.229 5.309 9.362 2
0.359 5.087 9.388 3
0.567 4.969 9.589 2
0.828 4.926 9.723 3
0.926 4.744 9.728 2
1.152 4.802 9.874 3
1.166 4.718 9.879 3
1.271 4.548 9.853 2
1.168 4.588 9.963 3
1.065 4.586 10.083 2
1.032 4.552 10.351 3
0.972 4.6 10.401 2
1.013 4.67 10.619 3
0.989 4.782 10.696 2
0.948 4.914 10.66 3
0.898 5.029 10.679 2
0.95 5.163 10.583 3
0.766 5.357 10.518 2
0.785 5.412 10.365 3
0.692 5.424 10.332 2
0.673 5.434 10.099 3
0.673 5.345 10.025 2
0.708 5.273 9.912 3
0.809 5.254 9.786 2
0.888 5.168 9.714 3
0.996 5.012 9.663 2
1.192 5.005 9.568 3
1.233 4.919 9.544 2
1.259 4.758 9.4 3
1.152 4.821 9.268 2
1.111 4.725 8.847 3
1.197 4.612 8.911 2
1.094 4.55 8.713 3
1.005 4.543 8.583 2
1.029 4.524 8.566 3
0.907 4.416 8.516 2
0.823 4.404 8.423 3
0.768 4.459 8.38 2
0.581 4.37 8.413 3
0.411 4.344 8.423 2
-0.143 4.126 8.334 3
-1.259 3.372 8.281 2
-0.421 3.561 8.631 3
0.447 3.63 8.895 2
1.389 3.762 9.139 3
2.045 3.997 9.192 2
2.62 4.174 9.244 3
2.735 4.512 9.259 2
2.859 4.806 9.311 3
2.931 5.094 9.352 2
2.756 5.316 9.414 3
2.648 5.422 9.297 3
2.548 5.633 9.275 2
2.366 5.657 9.211 3
2.107 5.611 9.115 2
1.923 5.594 8.94 3
1.702 5.556 8.84 2
1.525 5.527 8.775 3
1.235 5.348 8.825 2
1.106 5.211 8.813 3
0.984 4.919 8.863 2
1.049 4.83 9.022 3
0.866 4.696 9.053 2
0.768 4.617 9.249 3
0.706 4.517 9.223 2
0.675 4.425 9.395 3
0.608 4.406 9.443 2
0.553 4.382 9.57 3
0.562 4.423 9.604 2
0.692 4.519 9.606 3
0.723 4.495 9.623 2
0.816 4.572 9.635 3
1.025 4.543 9.709 2
1.283 4.598 9.539 3
1.365 4.627 9.515 2
1.525 4.6 9.517 3
1.595 4.55 9.354 2
1.614 4.658 9.115 3
1.64 4.675 9.019 2
1.678 4.699 8.825 3
1.659 4.679 8.669 2
1.595 4.634 8.468 3
1.609 4.677 8.265 2
1.599 4.66 8.195 3
1.451 4.593 7.984 2
1.389 4.543 7.786 3
1.35 4.509 7.812 2
1.257 4.593 7.685 3
1.204 4.641 7.637 2
1.039 4.608 7.494 3
0.893 4.725 7.367 2
0.893 4.646 7.24 3
0.84 4.646 7.125 2
0.95 4.653 7.017 3
1.092 4.56 6.694 2
1.365 4.61 6.377 3
1.777 4.6 6.025 2
2.239 4.509 5.918 3
2.852 4.519 5.604 2
3.163 4.452 5.367 3
3.18 4.368 5.285 3
3.111 4.306 5.103 2
2.756 4.342 5.089 3
2.277 4.306 5.017 2
1.892 4.414 4.916 3
1.568 4.497 4.919 2
1.458 4.619 5.122 3
1.36 4.715 5.34 2
1.47 4.713 5.448 3
1.714 4.718 5.93 2
1.865 4.768 6.308 3
